Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
DGB-USD,DigiByte USD,0.007500,0.000000,+0.484300%,125.899M,2.769M,2.769M,2.769M,16.799B,,
NMR-USD,Numeraire USD,20.37,-0.60,-2.84%,125.626M,10.145M,10.145M,10.145M,6.166M,,
POLYX-USD,Polymesh USD,0.152687,-0.001670,-1.08%,124.12M,4.898M,4.898M,4.898M,812.908M,,
CYBER24781-USD,CyberConnect USD,7.1400,+0.2400,+3.4600%,123.851M,36.834M,36.834M,36.834M,17.344M,,
ALPH-USD,Alephium USD,1.7685,-0.0367,-2.0321%,122.525M,"971,234","971,234","971,234",69.281M,,
PROM-USD,Prom USD,6.7400,-0.1400,-2.0400%,123.092M,2.822M,2.822M,2.822M,18.25M,,
NYM-USD,NYM USD,0.189700,-0.006700,-3.398500%,121.366M,2.117M,2.117M,2.117M,639.684M,,
POLY-USD,Polymath USD,0.129542,-0.003782,-2.84%,119.826M,"60,137","60,137","60,137",924.998M,,
KEEP-USD,Keep Network USD,0.120000,-0.006300,-4.989200%,114.165M,"11,620","11,620","11,620",951.038M,,
SLP-USD,Smooth Love Potion USD,0.002900,0.000000,+0.159600%,119.923M,10.982M,10.982M,10.982M,41.361B,,
LQTY-USD,Liquity USD,1.2622,-0.0086,-0.6789%,119.918M,21.668M,21.668M,21.668M,95.003M,,
CELR-USD,Celer Network USD,0.016400,-0.000100,-0.762200%,119.898M,4.54M,4.54M,4.54M,7.293B,,
RBTC-USD,Rootstock Smart Bitcoin USD,"42,663.23",-60.77,-0.14%,117.462M,"439,561","439,561","439,561","2,753",,
ZEN-USD,Horizen USD,7.9400,+0.0500,+0.6900%,116.118M,5.81M,5.81M,5.81M,14.622M,,
ONG3217-USD,Ontology Gas USD,0.304610,+0.002175,+0.72%,112.711M,3.516M,3.516M,3.516M,370.018M,,
DKA-USD,dKargo USD,0.030833,-0.000494,-1.58%,112.657M,1.961M,1.961M,1.961M,3.654B,,
EVER-USD,Everscale USD,0.057924,+0.000001,+0.00%,112.253M,"195,743","195,743","195,743",1.938B,,
VUSDC-USD,Venus USDC USD,0.023084,+0.000009,+0.04%,110.134M,104.499M,104.499M,104.499M,4.771B,,
RSR-USD,Reserve Rights USD,0.002169,-0.000049,-2.20%,109.758M,5.87M,5.87M,5.87M,50.6B,,
TRAC25208-USD,trac (Ordinals) USD,5.2004,+0.4931,+10.48%,109.209M,1.287M,1.287M,1.287M,21M,,
DEXE-USD,DeXe USD,2.9226,+0.0101,+0.35%,106.674M,1.78M,1.78M,1.78M,36.5M,,
NAKA-USD,Nakamoto Games USD,1.3223,+0.0105,+0.80%,106.394M,9.154M,9.154M,9.154M,80.464M,,
ORBS-USD,Orbs USD,0.033594,-0.000597,-1.75%,106.418M,5.35M,5.35M,5.35M,3.168B,,
